BRAND_NAME,COMMON_NAME_x,ORIGINALCODE_x,LENGTH(ORIGINALCODE),L_R_x,PEIJIAN,COMMON_NAME_y,ORIGINALCODE_y,L_R_y,DISTINCT_SUM,len_y
一汽奥迪,后座椅角度调节器（左）,0B2038,6,左,后座椅角度调节器,后座椅角度调节器（右）,0B2039,右,1,1
郑州海马,前保险杠卡扣（左）,FA1A50102,9,左,前保险杠卡扣,前保险杠卡扣（右）,FA1A50101,右,1,1
一汽大众,前门槛饰板（左）,L5C685337182V,13,左,前门槛饰板,前门槛饰板（右）,L5C685337282V,右,1,1
上汽通用别克,车顶后导水槽（左）,0A2057,6,左,车顶后导水槽,车顶后导水槽（右）,0A2056,右,1,1
夏利,引擎盖铰链（左）,8402110J1-A00,13,左,引擎盖铰链,引擎盖铰链（右）,8402120J1-A00,右,1,1
开瑞,前减震器（左）,Q222901010,10,左,前减震器,前减震器（右）,Q222901020,右,1,1
进口凯迪拉克,前叶子板内衬（左）,9047108,7,左,前叶子板内衬,前叶子板内衬（右）,9047107,右,1,1
东风标致,后保险杠反射器（左）,6340H1,6,左,后保险杠反射器,后保险杠反射器（右）,6340H2,右,1,1
飞碟,后叶子板轮眉（左）,8404110,7,左,后叶子板轮眉,后叶子板轮眉（右）,8404120,右,1,1
飞碟,前大灯（左）,4121010,7,左,前大灯,前大灯（右）,4121020,右,1,1
吉利,冷凝器护板（左）,1068050368,10,左,冷凝器护板,冷凝器护板（右）,1068050366,右,1,1
讴歌,后叶子板轮眉（左）,74450TRNH01,11,左,后叶子板轮眉,后叶子板轮眉（右）,74410TRNH01,右,1,1
众泰,水箱导流板（左）,T7002802015001B11B2709H,23,左,水箱导流板,水箱导流板（右）,T7002802016001B11B2709H,右,1,1
进口大众,后制动鼓（左）,7H0827365,9,左,后制动鼓,后制动鼓（右）,7H0827366,右,1,1
广汽本田,前保险杠亮条（左）,71119TVEH00,11,左,前保险杠亮条,前保险杠亮条（右）,71114TVEH00,右,1,1
奇瑞,尾灯支架（左）,0A3040,6,左,尾灯支架,尾灯支架（右）,0A3041,右,1,1
野马,前立柱内板（左）,0A1005,6,左,前立柱内板,前立柱内板（右）,0A0005,右,1,1
汉腾,发动机侧护板（左）,8401012001-B15,14,左,发动机侧护板,发动机侧护板（右）,8401012002-B15,右,1,1
一汽马自达,前保险杠下护板（左）,GV9B50B51,9,左,前保险杠下护板,前保险杠下护板（右）,GV9B50B41,右,1,1
东风,尾灯灯座（左）,B-5401093,9,左,尾灯灯座,尾灯灯座（右）,B-5401094,右,1,1
江铃,前雾灯框（左）,E9P217859JA,11,左,前雾灯框,前雾灯框（右）,E9P217859KA,右,1,1
力帆,前制动器总成（左）,PBA3501010,10,左,前制动器总成,前制动器总成（右）,PBA3501020,右,1,1
上汽通用雪佛兰,前保险杠格栅（左）,26202328,8,左,前保险杠格栅,前保险杠格栅（右）,26202329,右,1,1
北汽,后制动分泵（左）,JYJY11124,9,左,后制动分泵,后制动分泵（右）,JYJY11125,右,1,1
一汽马自达,倒车镜内饰板（左）,GV9S6916Y,9,左,倒车镜内饰板,倒车镜内饰板（右）,GV9S6915Y,右,1,1
启辰,前门（左）,H01012GGMA,10,左,前门,前门（右）,H01002GGMA,右,1,1
启辰,前门玻璃升降器（左）,807312GG0A,10,左,前门玻璃升降器,前门玻璃升降器（右）,807302GG0A,右,1,1
一汽奔腾,车顶导水槽（左）,FA0171440,9,左,车顶导水槽,车顶导水槽（右）,FA0170440,右,1,1
斯达,前挡风玻璃雨刮臂（左）,JYJY10280,9,左,前挡风玻璃雨刮臂,前挡风玻璃雨刮臂（右）,JYJY10281,右,1,1
一汽大众,后门总成（左）,3C5833055H,10,左,后门总成,后门总成（右）,3C5833056H,右,1,1
红旗,行李箱盖铰链（左）,5HA052720-#M1,13,左,行李箱盖铰链,行李箱盖铰链（右）,5HA052710-#M1,右,1,1
上汽大众,车顶后窗帘气囊（左）,19D880741F,10,左,车顶后窗帘气囊,车顶后窗帘气囊（右）,19D880742F,右,1,1
比亚迪,元宝梁前支架（左）,11447201,8,左,元宝梁前支架,元宝梁前支架（右）,11447202,右,1,1
东风,后保险杠支架（左）,5401125-FA01B,13,左,后保险杠支架,后保险杠支架（右）,5401225-FA01B,右,1,1
东风,后叶子板轮眉（左）,5500063-FB01-BK01,17,左,后叶子板轮眉,后叶子板轮眉（右）,5500064-FB01-BK01,右,1,1
长安马自达,前雾灯饰条（左）,BFF850C22,9,左,前雾灯饰条,前雾灯饰条（右）,BFF850C12,右,1,1
长安福特,后轮毂（左）,6M512C299AD,11,左,后轮毂,后轮毂（右）,6M512C299AE,右,1,1
四川一汽丰田,中网（左）,531060R020,10,左,中网,中网（右）,531050R020,右,1,1
宝骏,后侧围玻璃（左）,23878536,8,左,后侧围玻璃,后侧围玻璃（右）,23878537,右,1,1
纳智捷,后保险杠反射器（左）,26565KN100,10,左,后保险杠反射器,后保险杠反射器（右）,26560KN100,右,1,1
东南,前保险杠电眼底座（左）,80L99A017ZZ,11,左,前保险杠电眼底座,前保险杠电眼底座（右）,80L99A014ZZ,右,1,1
宝骏,背门撑杆（左）,23944558,8,左,背门撑杆,背门撑杆（右）,23944559,右,1,1
上汽名爵,背门撑杆（左）,10125222,8,左,背门撑杆,背门撑杆（右）,10125223,右,1,1
昌河铃木,前下摆臂（左）,29040100-B01-B00,16,左,前下摆臂,前下摆臂（右）,29040200-B01-B00,右,1,1
长城,侧围外板（左）,5401701Y31,10,左,侧围外板,侧围外板（右）,5401702Y31,右,1,1
奇瑞,前稳定杆拉杆（左）,JYJY12475,9,左,前稳定杆拉杆,前稳定杆拉杆（右）,JYJY12476,右,1,1
奇瑞,前半轴（左）,JYJY11297,9,左,前半轴,前半轴（右）,JYJY11298,右,1,1
奇瑞,前叶子板固定架（左）,JYJY13103,9,左,前叶子板固定架,前叶子板固定架（右）,JYJY13104,右,1,1
长丰猎豹,前立柱内板（左）,MR344407,8,左,前立柱内板,前立柱内板（右）,MR344408,右,1,1
奇瑞,前叶子板轮眉（左）,609000224AA-DQ,14,左,前叶子板轮眉,前叶子板轮眉（右）,609000225AA-DQ,右,1,1
重庆五十铃,引擎盖铰链（左）,8402070-40,10,左,引擎盖铰链,引擎盖铰链（右）,8402080-40,右,1,1
华晨宝马,前大灯喷嘴支架（左）,51117331753,11,左,前大灯喷嘴支架,前大灯喷嘴支架（右）,51117331754,右,1,1
长丰猎豹,侧围外板（左）,A005401010,10,左,侧围外板,侧围外板（右）,A005401020,右,1,1
解放,驾驶室脚踏板护罩（左）,JYJY13527,9,左,驾驶室脚踏板护罩,驾驶室脚踏板护罩（右）,JYJY13526,右,1,1
北京现代,车顶外装饰板（左）,81675B3000,10,左,车顶外装饰板,车顶外装饰板（右）,81676B3000,右,1,1
北京现代,中立柱加强筋（左）,0A1015,6,左,中立柱加强筋,中立柱加强筋（右）,0A0015,右,1,1
江淮,背门撑杆（左）,81780-4A010,11,左,背门撑杆,背门撑杆（右）,81790-4A010,右,1,1
众泰,前下摆臂（左）,T6002904010001B112700E,22,左,前下摆臂,前下摆臂（右）,T6002904020001B112700E,右,1,1
奇瑞,前保险杠格栅装饰框（左）,602000396AA,11,左,前保险杠格栅装饰框,前保险杠格栅装饰框（右）,602000397AA,右,1,1
力帆,前门框密封条（左）,PBA6107150,10,左,前门框密封条,前门框密封条（右）,PBA6107250,右,1,1
纳智捷,前叶子板后轮眉（左）,63811KN100,10,左,前叶子板后轮眉,前叶子板后轮眉（右）,63810KN100,右,1,1
郑州海马,后门密封条（左）,MA12-68-914,11,左,后门密封条,后门密封条（右）,MA12-68-913,右,1,1
一汽马自达,底大边（左）,GV7D51P50A,10,左,底大边,底大边（右）,GV7D51P40A,右,1,1
北汽,前雾灯框（左）,28030017B01B00,14,左,前雾灯框,前雾灯框（右）,28030018B01B00,右,1,1
北京现代,中央控制台前盖板（左）,846304V000RY,12,左,中央控制台前盖板,中央控制台前盖板（右）,846404V000RY,右,1,1
宝俊,前叶子板内衬（左）,23869157,8,左,前叶子板内衬,前叶子板内衬（右）,23869158,右,1,1
北汽戚旺,前叶子板（左）,84030111-A01-B0Y,16,左,前叶子板,前叶子板（右）,84030112-A01-B0Y,右,1,1
本田,前保险杠支架（左）,71198T6PH01,11,左,前保险杠支架,前保险杠支架（右）,71193T6PH01,右,1,1
华骏,货箱侧防护栏（左）,0I0022,6,左,货箱侧防护栏,货箱侧防护栏（右）,0I0021,右,1,1
众泰,前半轴（左）,T7002303010001B11B27019,23,左,前半轴,前半轴（右）,T7002303020001B11B27019,右,1,1
众泰,前大灯支架（左）,T7005301450002B11B27013K,24,左,前大灯支架,前大灯支架（右）,T7005301450004B11B27013K,右,1,1
领克,前转向节（左）,8888758165,10,左,前转向节,前转向节（右）,8888758167,右,1,1
领克,车顶行李架（左）,8888209264,10,左,车顶行李架,车顶行李架（右）,8888209265,右,1,1
本田,前下摆臂（左）,51360T6PC10,11,左,前下摆臂,前下摆臂（右）,51350T6PC10,右,1,1
本田,引擎盖铰链（左）,60170TM0T00ZZ,13,左,引擎盖铰链,引擎盖铰链（右）,60120TM0T00ZZ,右,1,1
一汽大众,前罩板顶部格栅（左）,L3C1 819 403 B 9B9,18,左,前罩板顶部格栅,前罩板顶部格栅（右）,L3C1 819 404 B 9B9,右,1,1
华晨鑫源,日间行车灯（左）,4102110-D01,11,左,日间行车灯,日间行车灯（右）,4102120-D01,右,1,1
一汽奔腾,前门（左）,1EA059020#M3,12,左,前门,前门（右）,1EA058020#M3,右,1,1
江淮,前上摆臂（左）,54400-4A000,11,左,前上摆臂,前上摆臂（右）,54401-4A000,右,1,1
比速,车顶导水槽（左）,0A2054,6,左,车顶导水槽,车顶导水槽（右）,0A2053,右,1,1
桂林大宇,前保险杠包角（左）,JYJY10003,9,左,前保险杠包角,前保险杠包角（右）,JYJY10004,右,1,1
长安马自达,中网支架（左）,BKC350163,9,左,中网支架,中网支架（右）,BKC350153,右,1,1
北汽,前雾灯罩（左）,28030017B03B00,14,左,前雾灯罩,前雾灯罩（右）,28030018B03B00,右,1,1
江淮,倒车镜总成（左）,8202100R001XZ-AM,16,左,倒车镜总成,倒车镜总成（右）,8202200R001XZ-AM,右,1,1
红旗,倒车镜总成（左）,5HA069180A000,13,左,倒车镜总成,倒车镜总成（右）,5HA069120A000,右,1,1
红旗,前门（左）,5HA059020-#M1,13,左,前门,前门（右）,5HA058020-#M1,右,1,1
江淮,驾驶室脚踏板护罩（左）,0A8015,6,左,驾驶室脚踏板护罩,驾驶室脚踏板护罩（右）,0A8016,右,1,1
上汽通用五菱,前立柱外板（左）,0A1001,6,左,前立柱外板,前立柱外板（右）,0A0001,右,1,1
一汽奔腾,侧围外板（左）,5EA071201,9,左,侧围外板,侧围外板（右）,5EA070201,右,1,1
成都大运,驾驶室脚踏板护罩（左）,0A8015,6,左,驾驶室脚踏板护罩,驾驶室脚踏板护罩（右）,0A8016,右,1,1
四川一汽丰田,ABS前轮传感器（左）,895430R020,10,左,ABS前轮传感器,ABS前轮传感器（右）,895420R020,右,1,1
通华,前立柱（左）,0I0034,6,左,前立柱,前立柱（右）,0I0033,右,1,1
东南,后围板外板（左）,ED50A23C003,11,左,后围板外板,后围板外板（右）,ED50A23C002,右,1,1
重庆五十铃,前转向节（左）,3001031-71,10,左,前转向节,前转向节（右）,3001032-71,右,1,1
东风,尾灯支架（左）,0A3040,6,左,尾灯支架,尾灯支架（右）,0A3041,右,1,1
斯巴鲁,前减震器（左）,20310AL050,10,左,前减震器,前减震器（右）,20310AL040,右,1,1
奇瑞,前轮毂轴承（左）,T11-3001030,11,左,前轮毂轴承,前轮毂轴承（右）,M11-3001030,右,1,1
比亚迪,后桥支架（左）,1181007200,10,左,后桥支架,后桥支架（右）,1181007300,右,1,1
力帆,后门线束（左）,B4006300,8,左,后门线束,后门线束（右）,B4006400,右,1,1
南京依维柯,尾灯（左）,4808773,7,左,尾灯,尾灯（右）,4808772,右,1,1
长城,货箱铰链（左）,0I0017,6,左,货箱铰链,货箱铰链（右）,0I0018,右,1,1
长安福特,ABS前轮传感器（左）,JG9C2C205A3B,12,左,ABS前轮传感器,ABS前轮传感器（右）,JG9C2C204A3B,右,1,1
一汽奥迪,前大灯罩（左）,L8KD941031A,11,左,前大灯罩,前大灯罩（右）,L8KD941032A,右,1,1
东风,前悬支架（左）,5001024-C0302,13,左,前悬支架,前悬支架（右）,5001023-C0302,右,1,1
长安福特,前门饰条（左）,GR2BF20849BB,12,左,前门饰条,前门饰条（右）,GR2BF20848BB,右,1,1
广汽三菱,背门内饰板（左）,7224A287XA,10,左,背门内饰板,背门内饰板（右）,7224A286XA,右,1,1
长安福特,排气管后段（左）,DS7317G771CBW,13,左,排气管后段,排气管后段（右）,DS7317G770CBW,右,1,1
东风,前门外板（左）,BS3-6101013,11,左,前门外板,前门外板（右）,BS3-6101014,右,1,1
江淮,后门（左）,77010V7010E,11,左,后门,后门（右）,77020V7010E,右,1,1
一汽马自达,后叶子板内板（左）,GV2A71100,9,左,后叶子板内板,后叶子板内板（右）,GV2A70100,右,1,1
长城,前保险杠泡沫内衬（左）,2803240XJZ08A,13,左,前保险杠泡沫内衬,前保险杠泡沫内衬（右）,2803230XJZ08A,右,1,1
上汽大众,前门窗框外饰板（左）,56D837901041,12,左,前门窗框外饰板,前门窗框外饰板（右）,56D837902041,右,1,1
上汽通用别克,中立柱内饰板（左）,9072460,7,左,中立柱内饰板,中立柱内饰板（右）,9072461,右,1,1
重庆五十铃,后门玻璃（左）,6203010-40,10,左,后门玻璃,后门玻璃（右）,6203020-40,右,1,1
东风日产,水箱支架（左）,62523EW830-B094,15,左,水箱支架,水箱支架（右）,62522EW830-B094,右,1,1
天津一汽,前雾灯（左）,3732200J81B-A00,15,左,前雾灯,前雾灯（右）,3732100J81B-A00,右,1,1
东风日产,引擎盖密封条（左）,65811EW800-A098,15,左,引擎盖密封条,引擎盖密封条（右）,65810EW800-A098,右,1,1
昌河铃木,前大灯支架（左）,57830DG3500-000,15,左,前大灯支架,前大灯支架（右）,57820DG3500-000,右,1,1
江铃,前保险杠饰条（左）,E2-2803017A,11,左,前保险杠饰条,前保险杠饰条（右）,E2-2803018A,右,1,1
东风悦达起亚,后保险杠骨架支架（左）,K86641D1000,11,左,后保险杠骨架支架,后保险杠骨架支架（右）,K86642D1000,右,1,1
重庆五十铃,前轮挡泥板（左）,3102013-44,10,左,前轮挡泥板,前轮挡泥板（右）,3102014-44,右,1,1
东风,前挡风玻璃雨刮片（左）,5205013-C6100,13,左,前挡风玻璃雨刮片,前挡风玻璃雨刮片（右）,5205014-C6100,右,1,1
一汽奔腾,前稳定杆拉杆（左）,C23034170A,10,左,前稳定杆拉杆,前稳定杆拉杆（右）,C23034150A,右,1,1
汉腾,前门饰条（左）,5500030001-B15,14,左,前门饰条,前门饰条（右）,5500040001-B15,右,1,1
一汽奔腾,前保险杠支架（左）,FA0150161H,10,左,前保险杠支架,前保险杠支架（右）,FA0150151H,右,1,1
长安,前转向灯（左）,4111110AK01,11,左,前转向灯,前转向灯（右）,4111120AK01,右,1,1
长安福特,前门外拉手（左）,PL1S7122405AA,13,左,前门外拉手,前门外拉手（右）,PL1S7122404AA,右,1,1
长安标致雪铁龙,后雾灯（左）,9806229480,10,左,后雾灯,后雾灯（右）,9806229580,右,1,1
解放,侧围窗玻璃（左）,5403041AA01,11,左,侧围窗玻璃,侧围窗玻璃（右）,5403042AA01,右,1,1
上汽通用五菱,行李箱轮罩装饰板（左）,0A3021,6,左,行李箱轮罩装饰板,行李箱轮罩装饰板（右）,0A3022,右,1,1
北汽新能源,倒车镜（左）,JYJY14010,9,左,倒车镜,倒车镜（右）,JYJY14011,右,1,1
长安,手制动后拉线（左）,3508300U01,10,左,手制动后拉线,手制动后拉线（右）,3508400U01,右,1,1
长安马自达,前雾灯框（左）,KD5K51694A,10,左,前雾灯框,前雾灯框（右）,KD5K51684A,右,1,1
天津一汽,引擎盖铰链（左）,53420TBA10,10,左,引擎盖铰链,引擎盖铰链（右）,53410TBA10,右,1,1
福建奔驰,引擎盖铰链（左）,A6397500251,11,左,引擎盖铰链,引擎盖铰链（右）,A6397500351,右,1,1
众泰,前减震器（左）,T6002905300001B112762S,22,左,前减震器,前减震器（右）,T6002905400001B112762S,右,1,1
众泰,后悬架定位臂（左）,T6002914010001B112700E,22,左,后悬架定位臂,后悬架定位臂（右）,T6002914020001B112700E,右,1,1
黄海,前上摆臂（左）,910030003,9,左,前上摆臂,前上摆臂（右）,910030004,右,1,1
北汽,前轮罩加强板（左）,53010430-B20-B0Y,16,左,前轮罩加强板,前轮罩加强板（右）,53010440-B20-B0Y,右,1,1
一汽马自达,后门（左）,GV9S73020AM1,12,左,后门,后门（右）,GV9S72020AM1,右,1,1
斯达,引擎盖铰链（左）,JYJY13180,9,左,引擎盖铰链,引擎盖铰链（右）,JYJY13181,右,1,1
北汽,倒车镜总成（左）,L082101010057A0,15,左,倒车镜总成,倒车镜总成（右）,L082101010058A0,右,1,1
东风,驾驶室卧铺支架（左）,7000N-125,9,左,驾驶室卧铺支架,驾驶室卧铺支架（右）,7000N-126,右,1,1
华骏,货箱铰链（左）,0I0017,6,左,货箱铰链,货箱铰链（右）,0I0018,右,1,1
北京现代,后门框密封条（左）,8311038010YMB,13,左,后门框密封条,后门框密封条（右）,8312038010YMB,右,1,1
纳智捷,后保险杠泡沫内衬（左）,85093LB300,10,左,后保险杠泡沫内衬,后保险杠泡沫内衬（右）,85092LB300,右,1,1
进口大众,后悬架定位臂（左）,1K0505223K,10,左,后悬架定位臂,后悬架定位臂（右）,1K0505224K,右,1,1
夏利,前门玻璃（左）,6103011J1-A00,13,左,前门玻璃,前门玻璃（右）,6103012J1-A00,右,1,1
夏利,前门玻璃升降器（左）,6104130J38A00,13,左,前门玻璃升降器,前门玻璃升降器（右）,6104140J38A00,右,1,1
长安福特,侧围窗（左）,ED8BF29701AG,12,左,侧围窗,侧围窗（右）,ED8BF29700AG,右,1,1
东风标致,车顶外装饰板（左）,1610100180,10,左,车顶外装饰板,车顶外装饰板（右）,1610100280,右,1,1
斯柯达,中立柱内饰板（左）,0A1022,6,左,中立柱内饰板,中立柱内饰板（右）,0A0022,右,1,1
郑州海马,车顶导水槽饰条（左）,SA12-50-6L0,11,左,车顶导水槽饰条,车顶导水槽饰条（右）,SA12-50-6H0,右,1,1
解放,前示宽灯（左）,JYJY10069,9,左,前示宽灯,前示宽灯（右）,JYJY10099,右,1,1
东风日产,冷凝器护板（左）,921852GF0A,10,左,冷凝器护板,冷凝器护板（右）,921842GF0A,右,1,1
三一重工,驾驶室上脚踏板（左）,0A8028,6,左,驾驶室上脚踏板,驾驶室上脚踏板（右）,0A8027,右,1,1
广汽菲亚特,侧门槛饰板（左）,53224157,8,左,侧门槛饰板,侧门槛饰板（右）,53224158,右,1,1
北京现代,天窗玻璃密封胶条（左）,87235C9100,10,左,天窗玻璃密封胶条,天窗玻璃密封胶条（右）,87236C9100,右,1,1
江淮,前门内饰板（左）,6102100U2210-B1,15,左,前门内饰板,前门内饰板（右）,6102200U2210-B1,右,1,1
江淮,车顶窗帘气囊（左）,5820050U2231,12,左,车顶窗帘气囊,车顶窗帘气囊（右）,5820060U2231,右,1,1
北汽,前围盖板（左）,55000510-B01-B00,16,左,前围盖板,前围盖板（右）,55000520-B01-B00,右,1,1
天津一汽丰田,前大灯喷嘴（左）,85208-0N040,11,左,前大灯喷嘴,前大灯喷嘴（右）,85207-0N040,右,1,1
北京现代,后门亮条（左）,877353D000,10,左,后门亮条,后门亮条（右）,877363D000,右,1,1
长城,后立柱内板（左）,5401310P00,10,左,后立柱内板,后立柱内板（右）,5401320P00,右,1,1
上汽通用别克,车顶导水槽（左）,0A2054,6,左,车顶导水槽,车顶导水槽（右）,0A2053,右,1,1
保时捷,后门（左）,95B833021BGRV,13,左,后门,后门（右）,95B833022BGRV,右,1,1
广汽乘用车,背门内饰板（左）,6209001ADU0000RR4,17,左,背门内饰板,背门内饰板（右）,6209002ADU0000RR4,右,1,1
华宇达,后立柱（左）,0I0038,6,左,后立柱,后立柱（右）,0I0037,右,1,1
华晨中华,前上摆臂（左）,3001149,7,左,前上摆臂,前上摆臂（右）,3001148,右,1,1
比亚迪,前雾灯（左）,BYDLK4116100A,13,左,前雾灯,前雾灯（右）,BYDLK4116200A,右,1,1
纳智捷,前叶子板内板（左）,64181KN100,10,左,前叶子板内板,前叶子板内板（右）,64180KN100,右,1,1
荣威,引擎盖铰链（左）,AAAS1040A,9,左,引擎盖铰链,引擎盖铰链（右）,AAAS1030A,右,1,1
一汽欧朗,前保险杠支架（左）,2803441EM,9,左,前保险杠支架,前保险杠支架（右）,2803442EM,右,1,1
一汽大众,尾灯（左）,L1J5945095AA,12,左,尾灯,尾灯（右）,L1J5945096AA,右,1,1
一汽奔腾,后下摆臂（左）,FA0128350,9,左,后下摆臂,后下摆臂（右）,FA0128300,右,1,1
进口梅赛德斯-奔驰,尾灯支架（左）,A1668851374,11,左,尾灯支架,尾灯支架（右）,A1668851474,右,1,1
长城,后叶子板内衬（左）,5402271XJ08XA89,15,左,后叶子板内衬,后叶子板内衬（右）,5402272XJ08XA89,右,1,1
